ts_ns,cumPnL_Hawkes-full,tickPnL_Hawkes-full,cumPnL_Hawkes-self,tickPnL_Hawkes-self,cumPnL_EWMA-count,tickPnL_EWMA-count,cumPnL_RealVol,tickPnL_RealVol,cumPnL_EWMA-vol,tickPnL_EWMA-vol,cumPnL_Imbalance,tickPnL_Imbalance,cumPnL_TOD,tickPnL_TOD,cumPnL_Fixed,tickPnL_Fixed,cumPnL_Oracle,tickPnL_Oracle
1764615660000000000,559.9053599960247,4.1590360104740265,691.7626986647575,4.711144921508955,521.7746653930249,4.093151648919516,539.2974532297545,4.7414372495861885,378.4725218754408,3.0882812146162952,562.0308745447924,4.739316136864539,624.7726493675532,4.848409233984533,661.3199999999997,3.084999999999983,678.5581009862644,3.766545375713501
1764615690000000000,565.8277962119114,5.922436215886739,698.7791779034887,7.01647923873119,526.9477471574601,5.173081764435177,544.131713007007,4.83425977725248,382.82494154059,4.352419665149159,566.3230717025773,4.292197157784978,633.9333775562546,9.16072818870151,662.9749999999998,1.6550000000000324,688.0982315236499,9.54013053738547
1764615720000000000,570.2013291855019,4.373532973590507,703.1745699214641,4.395392017975329,532.1290381039898,5.181290946529753,548.6924742744569,4.5607612674499025,386.5376213644434,3.712679823853412,569.1728240873634,2.849752384786114,641.3177462573434,7.384368701088707,666.3149999999998,3.3400000000000047,693.6696895060031,5.571457982353232
1764615750000000000,574.9186763026648,4.717347117162918,708.3787968629018,5.204226941437742,536.5640661589576,4.4350280549677565,551.9844787273817,3.2920044529247345,388.93241135176385,2.394789987320449,571.3867789926481,2.2139549052846745,647.7324883676079,6.414742110264477,668.9949999999999,2.6800000000000153,698.9735082636383,5.303818757635193
1764615780000000000,579.087235137705,4.1685588350401455,713.0021409559139,4.6233440930120935,540.6559198367675,4.091853677809815,554.5214098494306,2.5369311220489816,391.33908359557904,2.4066722438151795,572.945909007791,1.559130015142846,653.5103896720464,5.777901304438536,674.2349999999999,5.240000000000021,704.7558835875238,5.782375323885528
1764615810000000000,583.0721597027016,3.9849245649966076,716.949515639928,3.947374684014157,544.4312402193832,3.775320382615719,557.2127348354367,2.691324986006098,393.76092578255,2.421842186970961,576.5371533863736,3.5912443785825743,657.9130652926464,4.402675620600043,677.1949999999999,2.960000000000024,708.9153707710967,4.15948718357285
1764615840000000000,585.6189991576585,2.546839454956934,719.7809314609299,2.8314158210018303,546.6642352131939,2.2329949938106948,559.749218540704,2.5364837052673326,395.36721470542886,1.6062889228788624,578.2376109264951,1.7004575401215063,662.0051376863343,4.09207239368784,681.75,4.5550000000000175,711.9543775580817,3.0390067869849196
1764615870000000000,588.7922680401733,3.173268882514721,723.1078107465281,3.3268792855982694,549.9056064001843,3.241371186990327,561.572144239149,1.8229256984449969,397.5050238917046,2.137809186275719,579.6389684468047,1.401357520309582,666.5556632939375,4.5505256076032845,684.79,3.039999999999976,715.8850789318283,3.9307013737466168
1764615900000000000,593.4241782077713,4.631910167598033,731.912945513446,8.805134766917888,554.8172544246805,4.911648024496273,568.5187118571425,6.946567617993585,404.1272721907164,6.6222482990117735,584.6637536503458,5.024785203541164,671.6337063482482,5.078043054310642,690.045,5.2550000000000034,722.9132114398823,7.0281325080540435
1764615930000000000,597.0987947973309,3.67461658955966,735.5966982895262,3.6837527760803166,558.1866540953761,3.3693996706955116,571.8007499175977,3.2820380604551906,407.5611896784599,3.4339174877435497,586.7549975969355,2.0912439465896924,674.5531089322714,2.9194025840231648,691.615,1.5699999999999945,728.1032491650944,5.1900377252121555
1764615960000000000,605.2482231786187,8.14942838128777,748.8649087768448,13.26821048731858,565.8443470368354,7.6576929414593655,588.3279373051369,16.527187387539115,415.7797454228745,8.218555744414568,593.7182955438662,6.963297946930813,689.1803674667115,14.627258534440092,698.48,6.864999999999979,740.4015713266355,12.298322161540977
