source,target,alpha_IS,alpha_OOS,abs_diff,rel_change
GILD,WMT,0.007964930902662912,0.01419651695231224,0.006231586049649329,0.7823769348452954
LCID,PEP,0.00784672866443211,0.01121890142074773,0.003372172756315619,0.42975469179330344
ISRG,GILD,0.007604603317204299,0.008731032346251964,0.0011264290290476653,0.1481244321127135
PEP,WMT,0.007213196625398108,0.007820955702687314,0.0006077590772892057,0.08425643529318176
MSFT,CSCO,0.007126823751252268,0.005380107682855375,0.001746716068396893,-0.24509005392331124
WMT,CSCO,0.007094955364349627,0.0055984167673099995,0.0014965385970396273,-0.21092965507053046
RXRX,COST,0.006928787355914497,0.025045180457462242,0.018116393101547744,2.6146518899247924
INTC,CSCO,0.006924027409957644,0.005455014822049164,0.0014690125879084802,-0.2121612725251677
RXRX,LCID,0.006831250270180956,0.0071498211563005105,0.00031857088611955426,0.046634277354376884
SBUX,WMT,0.00680461198717802,0.009030100746327062,0.0022254887591490417,0.3270554577965595
AAPL,CSCO,0.006767932665032478,0.005327304863539531,0.0014406278014929465,-0.21286052095803817
ISRG,COST,0.006623875600112717,0.012262223819013707,0.00563834821890099,0.8512146131879216
GILD,PEP,0.006623798215222555,0.007748663276868606,0.0011248650616460512,0.16982150223808323
AMZN,CSCO,0.006531738392891993,0.005316755683740132,0.0012149827091518612,-0.18601186635940156
GILD,SBUX,0.006443831218399612,0.006937084158287632,0.0004932529398880194,0.07654641434670909
NVDA,CSCO,0.006285058370874703,0.00488319599509703,0.0014018623757776731,-0.22304647985596596
AMGN,ISRG,0.006280792078185415,0.00341992935945644,0.0028608627187289752,-0.45549321298713913
CSCO,WMT,0.0061858722952724534,0.007097552756672089,0.0009116804613996353,0.14738082910119144
TSLA,CSCO,0.006176741972322741,0.004774118035545972,0.0014026239367767685,-0.227081149293634
CRM,SBUX,0.006071866204078109,0.005461199845622666,0.0006106663584554426,-0.10057292637904824
SBUX,PEP,0.006069058407228847,0.006795484108694126,0.0007264257014652793,0.11969311477854429
COST,CRM,0.006029409316034222,0.004305537369191538,0.0017238719468426833,-0.2859101111542097
CRM,PEP,0.0060150079519064766,0.0051003605839414256,0.000914647367965051,-0.15206062147747224
AMGN,LCID,0.005959517931452045,0.0025722305296514087,0.0033872874018006363,-0.5683818317091637
PEP,SBUX,0.005908152762146066,0.006949304844090419,0.0010411520819443533,0.1762226471848531
INTC,WMT,0.005876199384899359,0.0060434627607946064,0.00016726337589524718,0.028464502358455674
MSFT,WMT,0.005857980239620598,0.005561407737100826,0.0002965725025197725,-0.05062700523362095
AMZN,WMT,0.0057588756317980576,0.006775623610861621,0.0010167479790635639,0.17655290347311717
LCID,AMGN,0.005728477016709562,0.0073442338329193484,0.0016157568162097867,0.28205646822568453
AAPL,WMT,0.005701298100741801,0.005734646423690444,3.3348322948643407e-05,0.005849240623271077
