date,inst,policy,total_pnl,fill_rate,total_fills,n_ticks
2025-12-12,CRM,hinv,0.6750000000000003,0.03438693990969086,114.0,2879
2025-12-12,CRM,hfixfl,-0.18500000000000005,0.026398054880166725,78.0,2879
2025-12-15,CRM,sel,1.355,0.037165682528655784,108.0,2879
2025-12-15,CRM,tod,0.6850000000000002,0.0399444251476207,120.0,2879
2025-12-15,CRM,fix,2.32,0.043765196248697465,135.0,2879
2025-12-15,CRM,qjn,2.125,0.03126085446335533,92.0,2879
2025-12-15,CRM,hgt,2.3000000000000003,0.029176797499131643,85.0,2879
2025-12-15,CRM,hmin,-0.3349999999999999,0.03959708232025009,119.0,2879
2025-12-15,CRM,hfg,2.495,0.040291767974991316,123.0,2879
2025-12-15,CRM,htg,1.655,0.03681833970128517,110.0,2879
2025-12-15,CRM,hinv,0.10999999999999988,0.035428968391802707,123.0,2879
2025-12-15,CRM,hfixfl,1.565,0.038902396665508855,113.0,2879
2025-12-16,CRM,sel,-0.6849999999999999,0.02327196943383119,68.0,2879
2025-12-16,CRM,tod,-0.6899999999999998,0.02466134074331365,77.0,2879
2025-12-16,CRM,fix,-0.36000000000000004,0.02535602639805488,77.0,2879
2025-12-16,CRM,qjn,0.8500000000000001,0.02605071205279611,77.0,2879
2025-12-16,CRM,hgt,0.935,0.023619312261201807,69.0,2879
2025-12-16,CRM,hmin,-0.44499999999999995,0.02396665508857242,76.0,2879
2025-12-16,CRM,hfg,-0.32999999999999996,0.02327196943383119,68.0,2879
2025-12-16,CRM,htg,-0.7199999999999999,0.022229940951719346,68.0,2879
2025-12-16,CRM,hinv,-0.1449999999999999,0.02674539770753734,86.0,2879
2025-12-16,CRM,hfixfl,-0.6000000000000001,0.022577283779089963,66.0,2879
2025-12-17,CRM,sel,0.635,0.02744008336227857,81.0,2879
2025-12-17,CRM,tod,0.9749999999999999,0.029176797499131643,89.0,2879
2025-12-17,CRM,fix,-0.66,0.02882945467176103,89.0,2879
